,r,rho,ratio,p,q,error
65,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,3,10,1.00715237425340076e+00
66,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,3,15,9.94718394324345910e-03
67,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,5,5,2.59041248521870836e-04
68,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,3,20,4.14465997635149442e-04
69,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,10,3,7.77123745565895269e-04
70,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,20,20,7.58909907779194599e-07
71,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,3,20,1.00715237425340026e-01
72,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,10,3,2.52969969165492888e-07
73,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,5,20,2.59041248521957305e-06
74,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,3,15,4.14465997635149238e-05
75,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,10,5,2.52969969200832352e-09
76,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,10,3,7.77123745565895242e-05
77,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,5,10,2.59041248521950359e-06
78,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,10,20,7.77123745565895242e-05
79,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,20,10,7.58909907779194599e-07
80,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,20,10,7.57071083510068221e-04
81,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,10,3,2.52969969200832352e-09
82,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,20,5,7.57071083510068221e-04
83,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,20,3,2.41192063344316707e-15
84,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,5,10,5.66523210517537665e-02
85,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,10,2.42851170489342263e-06
86,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,15,5,3.19029131487370311e-03
87,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,5,3,2.59041248521870836e-04
88,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,10,10,2.52969969200832360e-08
89,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,3,10,4.14465997635142666e-05
90,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,15,3,2.47040926706045795e-11
91,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,5,20,2.48679598581086478e-03
92,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,20,20,7.57071083510124729e-03
93,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,10,10,1.34438613433361553e-01
94,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,20,20,2.41244835947145666e-13
95,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,10,20,1.34438613433361553e-01
96,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,3,10,4.14465997635134718e-03
97,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,3,10,1.00715237425340037e-02
98,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,20,10,7.57071083510124729e-03
99,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,15,10,2.47040926706045795e-11
100,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,5,10,2.48679598581086478e-03
101,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,20,2.42851170489342263e-06
102,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,5,15,5.66523210517537890e-03
103,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,3,20,9.94718394324345910e-03
